Name,CAS,Acronym,Formula,Lifetime (yr),Radiative efficiency (W m-2 ppb-1),AGWP20 (W m-2 yr kg-1),GWP20,AGWP100 (W m-2 yr kg-1),GWP100,AGWP500 (W m-2 yr kg-1),GWP500,AGTP50 (K kg-1),GTP50,AGTP100 (K kg-1),GTP100,CGTP50 (yr),CGTP100 (yr)
"3,3,4,4,4-pentafluorobut-1-ene","=""374-27-6""",HFO-1345zfc,CF3CF2CH=CH2,0.025,0.016,1.6e-14,0.656,1.63e-14,0.182,1.63e-14,0.052,1.71e-17,0.04,1.29e-17,0.033,18.7,22.1
"3,3,4,4,5,5,6,6,6-nonafluorohex-1-ene","=""19430-93-4""",,n-C4F9CH=CH2,0.025,0.03,1.79e-14,0.734,1.82e-14,0.204,1.82e-14,0.058,1.91e-17,0.045,1.45e-17,0.037,20.9,24.7
"3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooct-1-ene","=""25291-17-2""",,n-C6F13CH=CH2,0.025,0.034,1.42e-14,0.584,1.45e-14,0.162,1.45e-14,0.046,1.52e-17,0.036,1.15e-17,0.029,16.6,19.7
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodec-1-ene","=""21652-58-4""",,n-C8F17CH=CH2,0.025,0.038,1.24e-14,0.508,1.26e-14,0.141,1.26e-14,0.04,1.32e-17,0.031,1e-17,0.025,14.5,17.1
"3,3,3-trifluoro-2-(trifluoromethyl)prop-1-ene","=""382-10-5""",,(CF3)2C=CH2,0.028,0.033,3.3e-14,1.36,3.37e-14,0.377,3.37e-14,0.107,3.53e-17,0.083,2.68e-17,0.068,38.7,45.8
"1,1,2,2,3,3-hexafluorocyclopentane","=""123768-18-3""",,cyc (-CF2CF2CF2CH2CH2-),1.6,0.2,1.05e-11,431.0,1.07e-11,120.0,1.07e-11,34.2,1.14e-14,26.6,8.57e-15,21.7,12300.0,14500.0
"1,1,2,2,3,3,4-heptafluorocyclopentane","=""15290-77-4""",,cyc (-CF2CF2CF2CHFCH2-),2.8,0.243,2.02e-11,830.0,2.07e-11,231.0,2.07e-11,66.0,2.22e-14,52.0,1.66e-14,42.1,23600.0,28000.0
"1,3,3,4,4,5,5-heptafluorocyclopentene","=""1892-03-1""",,cyc (-CF2CF2CF2CF=CH-),0.61,0.215,3.95e-12,162.0,4.03e-12,45.1,4.03e-12,12.8,4.24e-15,9.92,3.21e-15,8.14,4620.0,5470.0
"(4s,5s)-1,1,2,2,3,3,4,5-octafluorocyclopentane","=""158389-18-5""",,trans-cyc (-CF2CF2CF2CHFCHF-),3.2,0.259,2.25e-11,925.0,2.31e-11,258.0,2.31e-11,73.6,2.49e-14,58.2,1.86e-14,47.1,26300.0,31200.0
"(e)-1,3,4,4,4-pentafluoro-3-(trifluoromethyl)but-1-ene","=""14149-41-8""",HFO-1438ezy(E),(E)-(CF3)2CFCH=CHF,0.334,0.079,7.21e-13,29.6,7.36e-13,8.22,7.36e-13,2.34,7.73e-16,1.81,5.85e-16,1.48,843.0,998.0
"3,3,4,4,5,5,5-heptafluoropent-1-ene","=""355-08-8""",HFO-1447fz,CF3(CF2)2CH=CH2,0.025,0.028,2.06e-14,0.847,2.1e-14,0.235,2.1e-14,0.067,2.2e-17,0.051,1.67e-17,0.042,24.1,28.6
"1,3,3,4,4-pentafluorocyclobutene","=""374-31-2""",,cyc (-CH=CFCF2CF2-),0.74,0.27,8.1e-12,333.0,8.27e-12,92.4,8.27e-12,26.4,8.72e-15,20.4,6.59e-15,16.7,9470.0,11200.0
"3,3,4,4-tetrafluorocyclobutene","=""2714-38-7""",,cyc (-CH=CHCF2CF2-),0.23,0.21,2.24e-12,92.1,2.29e-12,25.6,2.29e-12,7.29,2.4e-15,5.61,1.82e-15,4.61,2620.0,3100.0
"1,1,1-trichloroethane","=""71-55-6""",Methyl chloroform,CH3CCl3,5.0,0.065,1.38e-11,567.0,1.44e-11,161.0,1.44e-11,46.0,1.6e-14,37.5,1.17e-14,29.7,16400.0,19400.0
Tetrachloromethane,"=""56-23-5""",Carbon tetrachloride,CCl4,32.0,0.166,9.27e-11,3810.0,1.96e-10,2200.0,2.06e-10,658.0,8.49e-13,1990.0,3.2e-13,810.0,,
Chloromethane,"=""74-87-3""",Methyl chloride,CH3Cl,0.9,0.005,4.85e-13,19.9,4.95e-13,5.54,4.95e-13,1.58,5.23e-16,1.22,3.95e-16,1.0,567.0,672.0
Dichloromethane,"=""75-09-2""",Methylene chloride,CH2Cl2,0.493,0.029,9.78e-13,40.2,9.98e-13,11.2,9.98e-13,3.18,1.05e-15,2.46,7.95e-16,2.01,1140.0,1350.0
Trichloromethane,"=""67-66-3""",Chloroform,CHCl3,0.501,0.074,1.81e-12,74.2,1.84e-12,20.6,1.84e-12,5.87,1.94e-15,4.53,1.47e-15,3.72,2110.0,2500.0
Chloroethane,"=""75-00-3""",,CH3CH2Cl,0.132,0.004,4.22e-14,1.73,4.3e-14,0.481,4.3e-14,0.137,4.51e-17,0.105,3.42e-17,0.087,49.4,58.4
"1,2-dichloroethane","=""107-06-2""",,CH2ClCH2Cl,0.225,0.009,1.14e-13,4.68,1.16e-13,1.3,1.16e-13,0.371,1.22e-16,0.285,9.25e-17,0.234,133.0,158.0
"1,1,2-trichloroethene","=""79-01-6""",,CHCl=CCl2,0.015,0.006,3.85e-15,0.158,3.93e-15,0.044,3.93e-15,0.013,4.11e-18,0.01,3.12e-18,0.008,4.51,5.34
"1,1,2,2-tetrachloroethene","=""127-18-4""",,CCl2=CCl2,0.301,0.052,5.56e-13,22.8,5.67e-13,6.34,5.67e-13,1.81,5.96e-16,1.39,4.51e-16,1.14,651.0,770.0
2-chloropropane,"=""75-29-6""",,CH3CHClCH3,0.06,0.004,1.58e-14,0.651,1.62e-14,0.181,1.62e-14,0.052,1.69e-17,0.04,1.28e-17,0.033,18.5,21.9
1-chlorobutane,"=""109-69-3""",,CH3(CH2)2CH2Cl,0.012,0.001,5.95e-16,0.024,6.07e-16,0.007,6.07e-16,0.002,6.35e-19,0.001,4.82e-19,0.001,0.697,0.824
Bromomethane,"=""74-83-9""",Methyl bromide,CH3Br,0.8,0.004,2.13e-13,8.74,2.17e-13,2.43,2.17e-13,0.692,2.29e-16,0.535,1.73e-16,0.438,249.0,294.0
Dibromomethane,"=""74-95-3""",Methylene bromide,CH2Br2,0.411,0.01,1.33e-13,5.45,1.35e-13,1.51,1.35e-13,0.431,1.42e-16,0.333,1.08e-16,0.273,155.0,184.0
Bromodifluoromethane,"=""1511-62-2""",Halon-1201,CHBrF2,4.9,0.152,3.25e-11,1340.0,3.4e-11,380.0,3.4e-11,108.0,3.76e-14,88.0,2.75e-14,69.8,38500.0,45800.0
Dibromodifluoromethane,"=""75-61-6""",Halon-1202,CBr2F2,2.5,0.272,1.89e-11,775.0,1.93e-11,216.0,1.93e-11,61.5,2.07e-14,48.4,1.55e-14,39.3,22000.0,26100.0
Bromochlorodifluoromethane,"=""353-59-3""",Halon-1211,CBrClF2,16.0,0.3,1.2e-10,4920.0,1.73e-10,1930.0,1.73e-10,552.0,4.58e-13,1070.0,1.6e-13,406.0,182000.0,229000.0
Bromotrifluoromethane,"=""75-63-8""",Halon-1301,CBrF3,72.0,0.299,2.02e-10,8320.0,6.44e-10,7200.0,8.64e-10,2750.0,3.23e-12,7560.0,2e-12,5060.0,,
